ark/input/pg22396.txt', 'brandished') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'nobody') 51
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'suspected') 8
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'things') 77
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'laughter') 14
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'superficial') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'presently') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'huddled') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'futile') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'down') 110
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'outside') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'room') 69
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'knew') 92
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'hated') 25
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'yellow') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'hideous') 8
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'grotesque') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'grinning') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'dark') 24
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'paper') 8
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'leaks') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'lambrequin') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'purple') 33
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'roses') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'inadequate') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'ancient') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'chair') 16
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'worked') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'relatives') 10
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'from') 208
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'only') 127
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'puppy') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'rainy') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'doorstep') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'forlorn') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'stairway') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'permitted') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'brook') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'sulk') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'offended') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'thing') 82
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'liked') 42
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'night') 74
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'used') 28
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'sleeping') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'want') 88
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'go') 134
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'homes') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'home') 83
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'street') 23
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'spain') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'child') 17
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'turrets') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'banners') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'mountain') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'wrapped') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'faint') 10
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'unknown') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'land') 7
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'wonderful') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'jewels') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'robes') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'urns') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pillared') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'myrtles') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'women') 20
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'men') 14
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'known') 23
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'few') 47
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'romantic') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'ardour') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pomp') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'banner') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'heavenly') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'recently') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'don') 132
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'deliberately') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'convenient') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'respect') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'too') 98
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'hardly') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'barking') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'lonely') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'undesired') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'homely') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'future') 10
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'seemed') 57
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'withered') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'woman') 33
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'realises') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'love') 59
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'duty') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'can') 144
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'eighty') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'annual') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'inevitably') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'nature') 7
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'despised') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pig') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'thinking') 27
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'my') 156
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'off') 47
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'invariably') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'concluded') 7
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'dull') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'abject') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'cecil') 8
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'last') 50
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'devoted') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pleased') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'else') 36
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'god') 27
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'enormously') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'fat') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'referring') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'girls') 27
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'doss') 93
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'over') 178
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'james') 61
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'busy') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'between') 27
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'himself') 37
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'cheese') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'charm') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'times') 21
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'throw') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'supposing') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'smiled') 18
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'wind') 28
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'jab') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'saying') 22
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'oppressively') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'prodigies') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'tabulated') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'show') 11
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'presume') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'teaspoons') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'set') 17
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'feast') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'year') 45
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'read') 35
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'novels') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'librarian') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'bugs') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'evident') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'book') 19
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'vaguely') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'yield') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'entered') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'de') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'certainly') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'hint') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'month') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'often') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'palpitations') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'becoming') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'speak') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'council') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'port') 50
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'insult') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'sure') 32
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'seriously') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'need') 20
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'dollars') 10
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pay') 12
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'retire') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'ten') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'imaginary') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'mention') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'disloyalty') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'deep') 9
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'abed') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'o') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'fast') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'meals') 13
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'excuses') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'penetrating') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'rules') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'fires') 7
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'cooked') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'stove') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'caught') 17
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'resulted') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'during') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'neck') 12
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'stockings') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'lines') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'determination') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'unsoftened') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'side') 13
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'gave') 27
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'rubbed') 7
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'brows') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'average') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'somehow') 15
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'cheek') 5
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'pompadours') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'add') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'above') 14
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'again') 60
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'bear') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'fits') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'offending') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'escape') 2
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'bound') 8
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'enmeshed') 1
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'web') 3
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'steel') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'ragged') 6
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'carriage') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'schoolgirl') 4
('file:///D:/Tartu/Cloud/spark/input/pg67979.txt', 'passes') 2
